gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,RevenueScore,AvgMonthlySpend,TenureGroup,Cluster,CustomerSegment,ChurnProbability,RiskLevel,Recommendation
Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,0,29.85,14.925,New,2,Growing Customers,0.6403594847713312,Medium,Personalized onboarding and engagement
Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,0,1936.3,53.98571428571429,Established,0,Loyal Customers,0.03770892243568055,Low,Upsell premium services
Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,107.7,36.05,New,2,Growing Customers,0.3281026149015064,Low,Monitor onboarding progress
Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,0,1903.5,40.016304347826086,Established,0,Loyal Customers,0.031941942811195896,Low,Upsell premium services
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,141.4,50.55,New,3,At-Risk High-Value Customers,0.7147616314021132,Medium,Targeted engagement campaign
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,797.2,91.16666666666669,New,3,At-Risk High-Value Customers,0.7940817222488541,High,Immediate retention campaign and discount
Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,1960.2,84.75652173913043,Growing,3,At-Risk High-Value Customers,0.4254943283128364,Low,Monitor usage patterns
Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,0,297.5,27.44545454545454,New,2,Growing Customers,0.2634621050657295,Low,Monitor onboarding progress
Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,2934.4,105.03620689655172,Established,3,At-Risk High-Value Customers,0.5703718897132435,Medium,Targeted engagement campaign
Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,0,3481.3,55.364285714285714,Loyal,0,Loyal Customers,0.014328491873798144,Low,Upsell premium services
Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,0,649.35,41.96071428571429,Growing,2,Growing Customers,0.17356101646014271,Low,Monitor onboarding progress
Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,0,303.2,19.223529411764705,Growing,2,Growing Customers,0.0189982061910709,Low,Monitor onboarding progress
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,0,5820.299999999999,96.28983050847458,Loyal,1,Premium Customers,0.21771658992102608,Low,VIP rewards and premium engagement
Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,5081.3,100.726,Loyal,1,Premium Customers,0.482013074672275,Low,VIP rewards and premium engagement
Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,0,2637.5,103.3096153846154,Established,3,At-Risk High-Value Customers,0.40143082143021497,Low,Monitor usage patterns
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,0,7814.25,112.78785714285712,Loyal,1,Premium Customers,0.034737864026992846,Low,VIP rewards and premium engagement
Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,0,1073.8,19.30094339622641,Loyal,0,Loyal Customers,0.01818312832505952,Low,Upsell premium services
Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,0,7575.7,102.53125,Loyal,1,Premium Customers,0.046541931074660176,Low,VIP rewards and premium engagement
